"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000236965_prok","GCA_000763325_prok","GCA_001465325_prok","GCA_001665495_prok","GCA_001886355_prok","GCA_001894905_prok","GCA_002215235_prok","GCA_003004765_prok","GCA_003288095_prok","GCA_003633655_prok","GCA_004153645_prok","GCA_009831075_prok","GCA_900105195_prok","GCA_900177695_prok","GCA_900455725_prok"
"bmr3_4","","Multidrug resistance protein 3","15","15","1","43","5598","","","","1634","1661","1646","GCA_000236965_prok_02337","GCA_000763325_prok_00644","GCA_001465325_prok_00385","GCA_001665495_prok_02231","GCA_001886355_prok_03391","GCA_001894905_prok_03547","GCA_002215235_prok_04969","GCA_003004765_prok_01119","GCA_003288095_prok_04504","GCA_003633655_prok_03544","GCA_004153645_prok_01267","GCA_009831075_prok_02554","GCA_900105195_prok_01257","GCA_900177695_prok_02365","GCA_900455725_prok_02676"
"group_5896","","hypothetical protein","15","15","1","43","4423","","","","446","452","447","GCA_000236965_prok_01897","GCA_000763325_prok_00422","GCA_001465325_prok_00623","GCA_001665495_prok_01297","GCA_001886355_prok_03111","GCA_001894905_prok_01701","GCA_002215235_prok_03065","GCA_003004765_prok_00809","GCA_003288095_prok_04261","GCA_003633655_prok_03782","GCA_004153645_prok_03862","GCA_009831075_prok_01158","GCA_900105195_prok_01480","GCA_900177695_prok_04012","GCA_900455725_prok_02440"
"accA1_1","","Acetyl-/propionyl-coenzyme A carboxylase alpha chain","15","15","1","43","4858","","","","2003","2033","2013","GCA_000236965_prok_04165","GCA_000763325_prok_01148","GCA_001465325_prok_03057","GCA_001665495_prok_01595","GCA_001886355_prok_03835","GCA_001894905_prok_01030","GCA_002215235_prok_03303","GCA_003004765_prok_01608","GCA_003288095_prok_00444","GCA_003633655_prok_02685","GCA_004153645_prok_00787","GCA_009831075_prok_02110","GCA_900105195_prok_00605","GCA_900177695_prok_01245","GCA_900455725_prok_03103"
"group_5904","","hypothetical protein","15","15","1","43","1843","","","","3893","3983","3938","GCA_000236965_prok_03519","GCA_000763325_prok_03200","GCA_001465325_prok_01023","GCA_001665495_prok_02620","GCA_001886355_prok_01278","GCA_001894905_prok_01934","GCA_002215235_prok_00676","GCA_003004765_prok_03645","GCA_003288095_prok_02501","GCA_003633655_prok_00573","GCA_004153645_prok_02388","GCA_009831075_prok_00257","GCA_900105195_prok_03133","GCA_900177695_prok_02782","GCA_900455725_prok_00855"
"rebG_2","","4'-demethylrebeccamycin synthase","15","15","1","43","1817","","","","1145","1163","1149","GCA_000236965_prok_03493","GCA_000763325_prok_03174","GCA_001465325_prok_01049","GCA_001665495_prok_02594","GCA_001886355_prok_01252","GCA_001894905_prok_01960","GCA_002215235_prok_00702","GCA_003004765_prok_03619","GCA_003288095_prok_02475","GCA_003633655_prok_00599","GCA_004153645_prok_02362","GCA_009831075_prok_00231","GCA_900105195_prok_03159","GCA_900177695_prok_02756","GCA_900455725_prok_00829"
"secA1","","Protein translocase subunit SecA 1","15","15","1","43","3980","","","","2837","2900","2866","GCA_000236965_prok_04817","GCA_000763325_prok_04462","GCA_001465325_prok_01573","GCA_001665495_prok_04446","GCA_001886355_prok_02590","GCA_001894905_prok_00222","GCA_002215235_prok_04681","GCA_003004765_prok_04832","GCA_003288095_prok_03733","GCA_003633655_prok_04307","GCA_004153645_prok_01936","GCA_009831075_prok_02981","GCA_900105195_prok_02011","GCA_900177695_prok_04951","GCA_900455725_prok_01933"
"group_5912","","Universal stress protein/MSMEI_3859","15","15","1","43","7142","","","","872","890","877","GCA_000236965_prok_00506","GCA_000763325_prok_04186","GCA_001465325_prok_01777","GCA_001665495_prok_02749","GCA_001886355_prok_02382","GCA_001894905_prok_00429","GCA_002215235_prok_03498","GCA_003004765_prok_04611","GCA_003288095_prok_03524","GCA_003633655_prok_04581","GCA_004153645_prok_01735","GCA_009831075_prok_04472","GCA_900105195_prok_02218","GCA_900177695_prok_04739","GCA_900455725_prok_01725"
"group_5923","","hypothetical protein","15","15","1","43","10842","","","","320","326","321","GCA_000236965_prok_01239","GCA_000763325_prok_02370","GCA_001465325_prok_02194","GCA_001665495_prok_01842","GCA_001886355_prok_00403","GCA_001894905_prok_02972","GCA_002215235_prok_00029","GCA_003004765_prok_02889","GCA_003288095_prok_01678","GCA_003633655_prok_01417","GCA_004153645_prok_02921","GCA_009831075_prok_02027","GCA_900105195_prok_03966","GCA_900177695_prok_03545","GCA_900455725_prok_04250"
"group_5939","","hypothetical protein","15","15","1","43","10695","","","","2480","2519","2492","GCA_000236965_prok_04301","GCA_000763325_prok_01287","GCA_001465325_prok_02916","GCA_001665495_prok_03247","GCA_001886355_prok_04120","GCA_001894905_prok_01163","GCA_002215235_prok_01981","GCA_003004765_prok_01734","GCA_003288095_prok_00582","GCA_003633655_prok_02548","GCA_004153645_prok_00676","GCA_009831075_prok_02733","GCA_900105195_prok_00472","GCA_900177695_prok_01375","GCA_900455725_prok_03215"
"rihA","","Pyrimidine-specific ribonucleoside hydrolase RihA","15","15","1","43","10561","","","","1076","1094","1082","GCA_000236965_prok_01822","GCA_000763325_prok_01032","GCA_001465325_prok_03131","GCA_001665495_prok_02987","GCA_001886355_prok_04312","GCA_001894905_prok_00899","GCA_002215235_prok_00496","GCA_003004765_prok_01519","GCA_003288095_prok_00226","GCA_003633655_prok_02985","GCA_004153645_prok_00885","GCA_009831075_prok_02203","GCA_900105195_prok_00736","GCA_900177695_prok_01782","GCA_900455725_prok_03026"
"ftsZ","","Cell division protein FtsZ","15","15","1","43","7380","","","","1229","1244","1235","GCA_000236965_prok_00942","GCA_000763325_prok_04033","GCA_001465325_prok_03367","GCA_001665495_prok_01471","GCA_001886355_prok_02125","GCA_001894905_prok_00582","GCA_002215235_prok_01069","GCA_003004765_prok_04456","GCA_003288095_prok_03313","GCA_003633655_prok_04820","GCA_004153645_prok_01584","GCA_009831075_prok_00063","GCA_900105195_prok_02371","GCA_900177695_prok_04586","GCA_900455725_prok_01571"
"tatA","","Sec-independent protein translocase protein TatA","15","15","1","43","8065","","","","254","257","255","GCA_000236965_prok_03058","GCA_000763325_prok_03675","GCA_001465325_prok_03683","GCA_001665495_prok_00990","GCA_001886355_prok_01797","GCA_001894905_prok_02316","GCA_002215235_prok_03156","GCA_003004765_prok_04144","GCA_003288095_prok_02995","GCA_003633655_prok_00128","GCA_004153645_prok_02821","GCA_009831075_prok_04205","GCA_900105195_prok_02687","GCA_900177695_prok_03918","GCA_900455725_prok_01287"
"ppc","","Phosphoenolpyruvate carboxylase","15","15","1","43","2023","","","","2762","2813","2772","GCA_000236965_prok_03692","GCA_000763325_prok_03370","GCA_001465325_prok_03902","GCA_001665495_prok_00666","GCA_001886355_prok_01451","GCA_001894905_prok_02591","GCA_002215235_prok_01143","GCA_003004765_prok_03814","GCA_003288095_prok_02674","GCA_003633655_prok_00402","GCA_004153645_prok_02549","GCA_009831075_prok_03832","GCA_900105195_prok_02962","GCA_900177695_prok_02959","GCA_900455725_prok_01016"
"group_5970","","hypothetical protein","15","15","1","43","2049","","","","1205","1235","1219","GCA_000236965_prok_03712","GCA_000763325_prok_03391","GCA_001465325_prok_03928","GCA_001665495_prok_00645","GCA_001886355_prok_01474","GCA_001894905_prok_02568","GCA_002215235_prok_01167","GCA_003004765_prok_03837","GCA_003288095_prok_02695","GCA_003633655_prok_00380","GCA_004153645_prok_02573","GCA_009831075_prok_03856","GCA_900105195_prok_02939","GCA_900177695_prok_02982","GCA_900455725_prok_01040"
"group_5986","caiD_2","Carnitinyl-CoA dehydratase","15","15","1","43","2517","","","","851","863","859","GCA_000236965_prok_03189","GCA_000763325_prok_01877","GCA_001465325_prok_04348","GCA_001665495_prok_00413","GCA_001886355_prok_04898","GCA_001894905_prok_02792","GCA_002215235_prok_04340","GCA_003004765_prok_02346","GCA_003288095_prok_01174","GCA_003633655_prok_01910","GCA_004153645_prok_03403","GCA_009831075_prok_01335","GCA_900105195_prok_04540","GCA_900177695_prok_00990","GCA_900455725_prok_03780"
"group_599","","hypothetical protein","15","15","1","43","4690","","","","635","1649","884","GCA_000236965_prok_02644","GCA_000763325_prok_00177","GCA_001465325_prok_00887","GCA_001665495_prok_01368","GCA_001886355_prok_02872","GCA_001894905_prok_01460","GCA_002215235_prok_02933","GCA_003004765_prok_05120","GCA_003288095_prok_04018","GCA_003633655_prok_04023","GCA_004153645_prok_03614","GCA_009831075_prok_04061","GCA_900105195_prok_01721","GCA_900177695_prok_05066","GCA_900455725_prok_02205"
"thlA_2","","Acetyl-CoA acetyltransferase","15","15","1","43","1258","","","","1184","1184","1184","GCA_000236965_prok_02177","GCA_000763325_prok_02769","GCA_001465325_prok_04686","GCA_001665495_prok_00075","GCA_001886355_prok_00824","GCA_001894905_prok_03943","GCA_002215235_prok_01491","GCA_003004765_prok_03247","GCA_003288095_prok_02058","GCA_003633655_prok_01026","GCA_004153645_prok_04399","GCA_009831075_prok_00554","GCA_900105195_prok_03589","GCA_900177695_prok_03813","GCA_900455725_prok_00470"
"bkdB","","3-methyl-2-oxobutanoate dehydrogenase subunit beta","15","15","1","43","1289","","","","983","998","984","GCA_000236965_prok_02399","GCA_000763325_prok_02798","GCA_001465325_prok_04657","GCA_001665495_prok_00592","GCA_001886355_prok_00854","GCA_001894905_prok_03914","GCA_002215235_prok_02706","GCA_003004765_prok_03273","GCA_003288095_prok_02087","GCA_003633655_prok_00997","GCA_004153645_prok_04373","GCA_009831075_prok_02122","GCA_900105195_prok_03560","GCA_900177695_prok_03839","GCA_900455725_prok_00496"
"speE","","Polyamine aminopropyltransferase","15","15","1","43","10662","","","","899","914","906","GCA_000236965_prok_04270","GCA_000763325_prok_01256","GCA_001465325_prok_02946","GCA_001665495_prok_03277","GCA_001886355_prok_04090","GCA_001894905_prok_01133","GCA_002215235_prok_02011","GCA_003004765_prok_01706","GCA_003288095_prok_00552","GCA_003633655_prok_02578","GCA_004153645_prok_00703","GCA_009831075_prok_02316","GCA_900105195_prok_00502","GCA_900177695_prok_01347","GCA_900455725_prok_03187"
"selD","","Selenide, water dikinase","15","15","1","43","1567","","","","1022","1034","1028","GCA_000236965_prok_00598","GCA_000763325_prok_02927","GCA_001465325_prok_01369","GCA_001665495_prok_04087","GCA_001886355_prok_01017","GCA_001894905_prok_02220","GCA_002215235_prok_03984","GCA_003004765_prok_03404","GCA_003288095_prok_02214","GCA_003633655_prok_00854","GCA_004153645_prok_02149","GCA_009831075_prok_00736","GCA_900105195_prok_03419","GCA_900177695_prok_02526","GCA_900455725_prok_00623"
"lnrL_2","","Linearmycin resistance ATP-binding protein LnrL","15","15","1","43","2825","","","","890","896","890","GCA_000236965_prok_03317","GCA_000763325_prok_02157","GCA_001465325_prok_02415","GCA_001665495_prok_03377","GCA_001886355_prok_00161","GCA_001894905_prok_03713","GCA_002215235_prok_04829","GCA_003004765_prok_02652","GCA_003288095_prok_01468","GCA_003633655_prok_01631","GCA_004153645_prok_03153","GCA_009831075_prok_01629","GCA_900105195_prok_04261","GCA_900177695_prok_02016","GCA_900455725_prok_04026"
"group_61","","hypothetical protein","15","15","1","43","5482","","","","1439","1574","1494","GCA_000236965_prok_02035","GCA_000763325_prok_00559","GCA_001465325_prok_00485","GCA_001665495_prok_00922","GCA_001886355_prok_03318","GCA_001894905_prok_03631","GCA_002215235_prok_05075","GCA_003004765_prok_00996","GCA_003288095_prok_04401","GCA_003633655_prok_03635","GCA_004153645_prok_01356","GCA_009831075_prok_02447","GCA_900105195_prok_01340","GCA_900177695_prok_02465","GCA_900455725_prok_02580"
"rarD","","Protein RarD","15","15","1","43","7394","","","","896","959","937","GCA_000236965_prok_00928","GCA_000763325_prok_04019","GCA_001465325_prok_03381","GCA_001665495_prok_02428","GCA_001886355_prok_02111","GCA_001894905_prok_00596","GCA_002215235_prok_01055","GCA_003004765_prok_04442","GCA_003288095_prok_03299","GCA_003633655_prok_04834","GCA_004153645_prok_01570","GCA_009831075_prok_00077","GCA_900105195_prok_02385","GCA_900177695_prok_04572","GCA_900455725_prok_01557"
"group_6120","pknD_2","Serine/threonine-protein kinase PknD","15","15","1","43","3766","","","","1559","1574","1566","GCA_000236965_prok_04355","GCA_000763325_prok_01363","GCA_001465325_prok_02863","GCA_001665495_prok_03173","GCA_001886355_prok_04175","GCA_001894905_prok_01216","GCA_002215235_prok_01928","GCA_003004765_prok_01787","GCA_003288095_prok_00635","GCA_003633655_prok_02478","GCA_004153645_prok_00623","GCA_009831075_prok_01962","GCA_900105195_prok_00419","GCA_900177695_prok_01428","GCA_900455725_prok_03268"
"group_6124","","hypothetical protein","15","15","1","43","3909","","","","728","836","744","GCA_000236965_prok_04948","GCA_000763325_prok_04394","GCA_001465325_prok_01641","GCA_001665495_prok_00370","GCA_001886355_prok_02523","GCA_001894905_prok_00289","GCA_002215235_prok_03126","GCA_003004765_prok_04765","GCA_003288095_prok_03666","GCA_003633655_prok_04374","GCA_004153645_prok_01867","GCA_009831075_prok_02769","GCA_900105195_prok_02078","GCA_900177695_prok_04885","GCA_900455725_prok_01864"
"argB","","Acetylglutamate kinase","15","15","1","43","7593","","","","911","911","911","GCA_000236965_prok_00097","GCA_000763325_prok_03856","GCA_001465325_prok_03576","GCA_001665495_prok_03334","GCA_001886355_prok_01948","GCA_001894905_prok_00760","GCA_002215235_prok_02566","GCA_003004765_prok_04264","GCA_003288095_prok_03137","GCA_003633655_prok_04995","GCA_004153645_prok_01408","GCA_009831075_prok_01296","GCA_900105195_prok_02549","GCA_900177695_prok_04403","GCA_900455725_prok_01394"
"liaR_2","","Transcriptional regulatory protein LiaR","15","15","1","43","4737","","","","677","677","677","GCA_000236965_prok_01435","GCA_000763325_prok_00134","GCA_001465325_prok_00931","GCA_001665495_prok_01326","GCA_001886355_prok_02830","GCA_001894905_prok_01418","GCA_002215235_prok_02976","GCA_003004765_prok_05076","GCA_003288095_prok_03976","GCA_003633655_prok_04065","GCA_004153645_prok_03571","GCA_009831075_prok_04018","GCA_900105195_prok_01763","GCA_900177695_prok_00288","GCA_900455725_prok_02163"
"argD","","Acetylornithine aminotransferase","15","15","1","43","7594","","","","1187","1187","1187","GCA_000236965_prok_00098","GCA_000763325_prok_03855","GCA_001465325_prok_03577","GCA_001665495_prok_03335","GCA_001886355_prok_01947","GCA_001894905_prok_00761","GCA_002215235_prok_02565","GCA_003004765_prok_04263","GCA_003288095_prok_03136","GCA_003633655_prok_04996","GCA_004153645_prok_01407","GCA_009831075_prok_01297","GCA_900105195_prok_02550","GCA_900177695_prok_04402","GCA_900455725_prok_01393"
"argH","","Argininosuccinate lyase","15","15","1","43","7598","","","","1421","1421","1421","GCA_000236965_prok_00102","GCA_000763325_prok_03851","GCA_001465325_prok_03581","GCA_001665495_prok_03339","GCA_001886355_prok_01943","GCA_001894905_prok_00765","GCA_002215235_prok_02561","GCA_003004765_prok_04259","GCA_003288095_prok_03132","GCA_003633655_prok_05000","GCA_004153645_prok_01403","GCA_009831075_prok_01301","GCA_900105195_prok_02554","GCA_900177695_prok_04398","GCA_900455725_prok_01389"
"tyrS","","Tyrosine--tRNA ligase","15","15","1","43","7602","","","","1277","1277","1277","GCA_000236965_prok_00106","GCA_000763325_prok_03847","GCA_001465325_prok_03585","GCA_001665495_prok_03343","GCA_001886355_prok_01939","GCA_001894905_prok_00769","GCA_002215235_prok_02557","GCA_003004765_prok_04255","GCA_003288095_prok_03128","GCA_003633655_prok_05004","GCA_004153645_prok_01399","GCA_009831075_prok_01305","GCA_900105195_prok_02558","GCA_900177695_prok_04394","GCA_900455725_prok_01385"
"rbpA","","RNA polymerase-binding protein RbpA","15","15","1","43","6301","","","","338","389","368","GCA_000236965_prok_00116","GCA_000763325_prok_03765","GCA_001465325_prok_03660","GCA_001665495_prok_01067","GCA_001886355_prok_01854","GCA_001894905_prok_04503","GCA_002215235_prok_03180","GCA_003004765_prok_04167","GCA_003288095_prok_03048","GCA_003633655_prok_00078","GCA_004153645_prok_02846","GCA_009831075_prok_04182","GCA_900105195_prok_02638","GCA_900177695_prok_04308","GCA_900455725_prok_01311"
"group_6236","","hypothetical protein","15","15","1","43","6302","","","","167","341","272","GCA_000236965_prok_00117","GCA_000763325_prok_03766","GCA_001465325_prok_03659","GCA_001665495_prok_01066","GCA_001886355_prok_01855","GCA_001894905_prok_04502","GCA_002215235_prok_03181","GCA_003004765_prok_04168","GCA_003288095_prok_03049","GCA_003633655_prok_00077","GCA_004153645_prok_02847","GCA_009831075_prok_04181","GCA_900105195_prok_02637","GCA_900177695_prok_04309","GCA_900455725_prok_01312"
"group_624","","hypothetical protein","15","15","1","43","6961","","","","1277","1412","1300","GCA_000236965_prok_04968","GCA_000763325_prok_04312","GCA_001465325_prok_01652","GCA_001665495_prok_03931","GCA_001886355_prok_02506","GCA_001894905_prok_00310","GCA_002215235_prok_03372","GCA_003004765_prok_04742","GCA_003288095_prok_03646","GCA_003633655_prok_04462","GCA_004153645_prok_01857","GCA_009831075_prok_02745","GCA_900105195_prok_02099","GCA_900177695_prok_04862","GCA_900455725_prok_01847"
"group_6241","","hypothetical protein","15","15","1","43","1490","","","","893","893","893","GCA_000236965_prok_00145","GCA_000763325_prok_02856","GCA_001465325_prok_01448","GCA_001665495_prok_04502","GCA_001886355_prok_00913","GCA_001894905_prok_02305","GCA_002215235_prok_04059","GCA_003004765_prok_03331","GCA_003288095_prok_02144","GCA_003633655_prok_00941","GCA_004153645_prok_00292","GCA_009831075_prok_00659","GCA_900105195_prok_03504","GCA_900177695_prok_05012","GCA_900455725_prok_00552"
"glnP","","Glutamine transport system permease protein GlnP","15","15","1","43","1492","","","","644","644","644","GCA_000236965_prok_00147","GCA_000763325_prok_02858","GCA_001465325_prok_01446","GCA_001665495_prok_04504","GCA_001886355_prok_00915","GCA_001894905_prok_02303","GCA_002215235_prok_04057","GCA_003004765_prok_03333","GCA_003288095_prok_02146","GCA_003633655_prok_00939","GCA_004153645_prok_00294","GCA_009831075_prok_00661","GCA_900105195_prok_03502","GCA_900177695_prok_05014","GCA_900455725_prok_00554"
"group_6243","","putative protein","15","15","1","43","1494","","","","1547","1547","1547","GCA_000236965_prok_00149","GCA_000763325_prok_02860","GCA_001465325_prok_01444","GCA_001665495_prok_04506","GCA_001886355_prok_00917","GCA_001894905_prok_02301","GCA_002215235_prok_04055","GCA_003004765_prok_03335","GCA_003288095_prok_02148","GCA_003633655_prok_00937","GCA_004153645_prok_00296","GCA_009831075_prok_00663","GCA_900105195_prok_03500","GCA_900177695_prok_05016","GCA_900455725_prok_00556"
"group_6245","","hypothetical protein","15","15","1","43","1506","","","","1448","1448","1448","GCA_000236965_prok_00158","GCA_000763325_prok_02869","GCA_001465325_prok_01435","GCA_001665495_prok_04514","GCA_001886355_prok_00926","GCA_001894905_prok_02292","GCA_002215235_prok_04043","GCA_003004765_prok_03344","GCA_003288095_prok_02156","GCA_003633655_prok_00926","GCA_004153645_prok_00307","GCA_009831075_prok_00675","GCA_900105195_prok_03491","GCA_900177695_prok_05027","GCA_900455725_prok_00567"
"glgB","","1,4-alpha-glucan branching enzyme GlgB","15","15","1","43","1507","","","","2210","2210","2210","GCA_000236965_prok_00159","GCA_000763325_prok_02870","GCA_001465325_prok_01434","GCA_001665495_prok_04515","GCA_001886355_prok_00927","GCA_001894905_prok_02291","GCA_002215235_prok_04042","GCA_003004765_prok_03345","GCA_003288095_prok_02157","GCA_003633655_prok_00925","GCA_004153645_prok_00308","GCA_009831075_prok_00676","GCA_900105195_prok_03490","GCA_900177695_prok_05028","GCA_900455725_prok_00568"
"glgE","","Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase","15","15","1","43","1509","","","","2018","2018","2018","GCA_000236965_prok_00160","GCA_000763325_prok_02871","GCA_001465325_prok_01433","GCA_001665495_prok_04516","GCA_001886355_prok_00928","GCA_001894905_prok_02290","GCA_002215235_prok_04041","GCA_003004765_prok_03346","GCA_003288095_prok_02158","GCA_003633655_prok_00924","GCA_004153645_prok_00309","GCA_009831075_prok_00677","GCA_900105195_prok_03489","GCA_900177695_prok_05029","GCA_900455725_prok_00569"
"group_6248","","hypothetical protein","15","15","1","43","1529","","","","443","443","443","GCA_000236965_prok_00180","GCA_000763325_prok_02891","GCA_001465325_prok_01412","GCA_001665495_prok_00017","GCA_001886355_prok_00948","GCA_001894905_prok_02270","GCA_002215235_prok_04020","GCA_003004765_prok_03365","GCA_003288095_prok_02178","GCA_003633655_prok_00904","GCA_004153645_prok_00327","GCA_009831075_prok_00698","GCA_900105195_prok_03469","GCA_900177695_prok_02488","GCA_900455725_prok_00588"
"bbsG_1","","(R)-benzylsuccinyl-CoA dehydrogenase","15","15","1","43","10418","","","","1211","1211","1211","GCA_000236965_prok_00201","GCA_000763325_prok_00931","GCA_001465325_prok_03243","GCA_001665495_prok_02271","GCA_001886355_prok_04420","GCA_001894905_prok_00799","GCA_002215235_prok_01371","GCA_003004765_prok_01407","GCA_003288095_prok_00098","GCA_003633655_prok_03148","GCA_004153645_prok_01043","GCA_009831075_prok_03391","GCA_900105195_prok_00836","GCA_900177695_prok_00357","GCA_900455725_prok_02910"
"hpd","","4-hydroxyphenylpyruvate dioxygenase","15","15","1","43","10423","","","","1205","1205","1205","GCA_000236965_prok_00205","GCA_000763325_prok_00935","GCA_001465325_prok_03239","GCA_001665495_prok_02275","GCA_001886355_prok_04415","GCA_001894905_prok_00803","GCA_002215235_prok_01367","GCA_003004765_prok_01411","GCA_003288095_prok_00102","GCA_003633655_prok_03144","GCA_004153645_prok_01039","GCA_009831075_prok_03395","GCA_900105195_prok_00832","GCA_900177695_prok_00353","GCA_900455725_prok_02914"
"group_6251","","hypothetical protein","15","15","1","43","10427","","","","416","416","416","GCA_000236965_prok_00209","GCA_000763325_prok_00939","GCA_001465325_prok_03235","GCA_001665495_prok_02279","GCA_001886355_prok_04411","GCA_001894905_prok_00807","GCA_002215235_prok_01363","GCA_003004765_prok_01415","GCA_003288095_prok_00106","GCA_003633655_prok_03140","GCA_004153645_prok_01035","GCA_009831075_prok_03399","GCA_900105195_prok_00828","GCA_900177695_prok_00349","GCA_900455725_prok_02918"
"group_6252","","hypothetical protein","15","15","1","43","10446","","","","614","623","621","GCA_000236965_prok_00217","GCA_000763325_prok_00947","GCA_001465325_prok_03225","GCA_001665495_prok_02287","GCA_001886355_prok_04399","GCA_001894905_prok_00815","GCA_002215235_prok_00384","GCA_003004765_prok_01423","GCA_003288095_prok_00114","GCA_003633655_prok_03131","GCA_004153645_prok_01025","GCA_009831075_prok_03405","GCA_900105195_prok_00820","GCA_900177695_prok_05506","GCA_900455725_prok_02928"
"mmgC_7","","Acyl-CoA dehydrogenase","15","15","1","43","10463","","","","1187","1187","1187","GCA_000236965_prok_00228","GCA_000763325_prok_00957","GCA_001465325_prok_03211","GCA_001665495_prok_02916","GCA_001886355_prok_04389","GCA_001894905_prok_00824","GCA_002215235_prok_00403","GCA_003004765_prok_01438","GCA_003288095_prok_00138","GCA_003633655_prok_03121","GCA_004153645_prok_00958","GCA_009831075_prok_03481","GCA_900105195_prok_00811","GCA_900177695_prok_00687","GCA_900455725_prok_02953"
"hmgA","","Homogentisate 1,2-dioxygenase","15","15","1","43","10400","","","","1202","1202","1202","GCA_000236965_prok_00246","GCA_000763325_prok_00914","GCA_001465325_prok_03266","GCA_001665495_prok_02254","GCA_001886355_prok_04437","GCA_001894905_prok_00782","GCA_002215235_prok_01391","GCA_003004765_prok_01385","GCA_003288095_prok_00081","GCA_003633655_prok_03165","GCA_004153645_prok_01065","GCA_009831075_prok_03374","GCA_900105195_prok_00853","GCA_900177695_prok_00380","GCA_900455725_prok_02888"
"map-1","","Methionine aminopeptidase 1","15","15","1","43","4175","","","","797","797","797","GCA_000236965_prok_00302","GCA_000763325_prok_00065","GCA_001465325_prok_05027","GCA_001665495_prok_03033","GCA_001886355_prok_02767","GCA_001894905_prok_00035","GCA_002215235_prok_04500","GCA_003004765_prok_05014","GCA_003288095_prok_03913","GCA_003633655_prok_04126","GCA_004153645_prok_02107","GCA_009831075_prok_03161","GCA_900105195_prok_01824","GCA_900177695_prok_00609","GCA_900455725_prok_02105"
"adk","","Adenylate kinase","15","15","1","43","4176","","","","545","545","545","GCA_000236965_prok_00303","GCA_000763325_prok_00066","GCA_001465325_prok_05026","GCA_001665495_prok_03034","GCA_001886355_prok_02768","GCA_001894905_prok_00034","GCA_002215235_prok_04499","GCA_003004765_prok_05015","GCA_003288095_prok_03914","GCA_003633655_prok_04125","GCA_004153645_prok_02108","GCA_009831075_prok_03162","GCA_900105195_prok_01823","GCA_900177695_prok_00610","GCA_900455725_prok_02106"
"rplE","","50S ribosomal protein L5","15","15","1","43","4185","","","","566","566","566","GCA_000236965_prok_00312","GCA_000763325_prok_00075","GCA_001465325_prok_05017","GCA_001665495_prok_03043","GCA_001886355_prok_02777","GCA_001894905_prok_00025","GCA_002215235_prok_04490","GCA_003004765_prok_05024","GCA_003288095_prok_03923","GCA_003633655_prok_04116","GCA_004153645_prok_02117","GCA_009831075_prok_03171","GCA_900105195_prok_01814","GCA_900177695_prok_00619","GCA_900455725_prok_02115"
"rplN","","50S ribosomal protein L14","15","15","1","43","4187","","","","368","368","368","GCA_000236965_prok_00314","GCA_000763325_prok_00077","GCA_001465325_prok_05015","GCA_001665495_prok_03045","GCA_001886355_prok_02779","GCA_001894905_prok_00023","GCA_002215235_prok_04488","GCA_003004765_prok_05026","GCA_003288095_prok_03925","GCA_003633655_prok_04114","GCA_004153645_prok_02119","GCA_009831075_prok_03173","GCA_900105195_prok_01812","GCA_900177695_prok_00621","GCA_900455725_prok_02117"
"rplD","","50S ribosomal protein L4","15","15","1","43","4196","","","","683","683","683","GCA_000236965_prok_00323","GCA_000763325_prok_00086","GCA_001465325_prok_05006","GCA_001665495_prok_03054","GCA_001886355_prok_02788","GCA_001894905_prok_00014","GCA_002215235_prok_04479","GCA_003004765_prok_05035","GCA_003288095_prok_03934","GCA_003633655_prok_04105","GCA_004153645_prok_02128","GCA_009831075_prok_03182","GCA_900105195_prok_01803","GCA_900177695_prok_00630","GCA_900455725_prok_02126"
"kipR_2","","HTH-type transcriptional regulator KipR","15","15","1","43","7104","","","","701","701","701","GCA_000236965_prok_00340","GCA_000763325_prok_04219","GCA_001465325_prok_01743","GCA_001665495_prok_00068","GCA_001886355_prok_02415","GCA_001894905_prok_00396","GCA_002215235_prok_03464","GCA_003004765_prok_04647","GCA_003288095_prok_03557","GCA_003633655_prok_04548","GCA_004153645_prok_01767","GCA_009831075_prok_04506","GCA_900105195_prok_02185","GCA_900177695_prok_04775","GCA_900455725_prok_01757"
"pfp","","Pyrophosphate--fructose 6-phosphate 1-phosphotransferase","15","15","1","43","7084","","","","1028","1028","1028","GCA_000236965_prok_00360","GCA_000763325_prok_04239","GCA_001465325_prok_01723","GCA_001665495_prok_03987","GCA_001886355_prok_02434","GCA_001894905_prok_00376","GCA_002215235_prok_03444","GCA_003004765_prok_04669","GCA_003288095_prok_03577","GCA_003633655_prok_04528","GCA_004153645_prok_01786","GCA_009831075_prok_04528","GCA_900105195_prok_02165","GCA_900177695_prok_04797","GCA_900455725_prok_01776"
"etfA","","Electron transfer flavoprotein subunit alpha","15","15","1","43","7062","","","","956","956","956","GCA_000236965_prok_00380","GCA_000763325_prok_04261","GCA_001465325_prok_01703","GCA_001665495_prok_04007","GCA_001886355_prok_02454","GCA_001894905_prok_00356","GCA_002215235_prok_03424","GCA_003004765_prok_04688","GCA_003288095_prok_03599","GCA_003633655_prok_04508","GCA_004153645_prok_01806","GCA_009831075_prok_04550","GCA_900105195_prok_02145","GCA_900177695_prok_04815","GCA_900455725_prok_01796"
